UID1;UID2;UID3;UID4;UID5;UID6;UID7;UID8;UID9;UID10;UID11;UID12;UID13;UID14;UID15;UID16;UID17;UID18;UID19;UID20;UID21;UID22;UID23;UID24;UID25;UID26;UID27;UID28;UID29;UID30;UID31;UID32;UID33;UID34;UID35;Latitude;Longitude;Timestamp;Clusterid
0.2571428571;0.2571428571;0.2571428571;0.2571428571;-1;0.2571428571;0.2571428571;0.2571428571;-1;0.2571428571;0.2571428571;0.2571428571;0.2571428571;0.2571428571;0.2571428571;;0.2571428571;0.2571428571;-1;0.2571428571;-1;-1;0.2571428571;0.2571428571;0.2571428571;0.2571428571;0.2571428571;0.2571428571;0.2571428571;0.2571428571;0.2571428571;0.2571428571;-1;0.2571428571;0.2571428571;48.1618;11.58639;1517999226.68254;2
0.3285714286;0.3285714286;0.3285714286;0.3285714286;-1;0.3285714286;0.3285714286;0.3285714286;-1;0.3285714286;0.3285714286;0.3285714286;0.3285714286;0.3285714286;0.3285714286;;0.3285714286;0.3285714286;-1;0.3285714286;-1;-1;0.3285714286;0.3285714286;0.3285714286;0.3285714286;0.3285714286;0.3285714286;0.3285714286;0.3285714286;0.3285714286;0.3285714286;-1;0.3285714286;0.3285714286;48.16181;11.58639;1517999227.68211;0
0.4142857143;0.4142857143;0.4142857143;0.4142857143;-1;0.4142857143;0.4142857143;0.4142857143;-1;0.4142857143;0.4142857143;0.4142857143;0.4142857143;0.4142857143;0.4142857143;;0.4142857143;0.4142857143;-1;0.4142857143;-1;-1;0.4142857143;0.4142857143;0.4142857143;0.4142857143;0.4142857143;0.4142857143;0.4142857143;0.4142857143;0.4142857143;0.4142857143;-1;0.4142857143;0.4142857143;48.16181;11.58639;1517999228.68259;3
0.1571428571;0.1571428571;0.1571428571;0.1571428571;-1;0.1571428571;0.1571428571;0.1571428571;-1;0.1571428571;0.1571428571;0.1571428571;0.1571428571;0.1571428571;0.1571428571;;0.1571428571;0.1571428571;-1;0.1571428571;-1;-1;0.1571428571;0.1571428571;0.1571428571;0.1571428571;0.1571428571;0.1571428571;0.1571428571;0.1571428571;0.1571428571;0.1571428571;-1;0.1571428571;0.1571428571;48.16181;11.58639;1517999229.68932;5
0.5285714286;0.5285714286;0.5285714286;0.5285714286;-1;0.5285714286;0.5285714286;0.5285714286;-1;0.5285714286;0.5285714286;0.5285714286;0.5285714286;0.5285714286;0.5285714286;;0.5285714286;0.5285714286;-1;0.5285714286;-1;-1;0.5285714286;0.5285714286;0.5285714286;0.5285714286;0.5285714286;0.5285714286;0.5285714286;0.5285714286;0.5285714286;0.5285714286;-1;0.5285714286;0.5285714286;48.16181;11.58639;1517999230.68271;4
0.4142857143;0.4142857143;0.4142857143;0.4142857143;-1;0.4142857143;0.4142857143;0.4142857143;-1;0.4142857143;0.4142857143;0.4142857143;0.4142857143;0.4142857143;0.4142857143;;0.4142857143;0.4142857143;-1;0.4142857143;-1;-1;0.4142857143;0.4142857143;0.4142857143;0.4142857143;0.4142857143;0.4142857143;0.4142857143;0.4142857143;0.4142857143;0.4142857143;-1;0.4142857143;0.4142857143;48.16181;11.58639;1517999231.68232;3
0.4142857143;0.4142857143;0.4142857143;0.4142857143;-1;0.4142857143;0.4142857143;0.4142857143;-1;0.4142857143;0.4142857143;0.4142857143;0.4142857143;0.4142857143;0.4142857143;;0.4142857143;0.4142857143;-1;0.4142857143;-1;-1;0.4142857143;0.4142857143;0.4142857143;0.4142857143;0.4142857143;0.4142857143;0.4142857143;0.4142857143;0.4142857143;0.4142857143;-1;0.4142857143;0.4142857143;48.16181;11.58639;1517999232.68316;3
0.2571428571;0.2571428571;0.2571428571;0.2571428571;-1;0.2571428571;0.2571428571;0.2571428571;-1;0.2571428571;0.2571428571;0.2571428571;0.2571428571;0.2571428571;0.2571428571;;0.2571428571;0.2571428571;-1;0.2571428571;-1;-1;0.2571428571;0.2571428571;0.2571428571;0.2571428571;0.2571428571;0.2571428571;0.2571428571;0.2571428571;0.2571428571;0.2571428571;-1;0.2571428571;0.2571428571;48.16186;11.58641;1517999233.68265;2
0.1571428571;0.1571428571;0.1571428571;0.1571428571;-1;0.1571428571;0.1571428571;0.1571428571;-1;0.1571428571;0.1571428571;0.1571428571;0.1571428571;0.1571428571;0.1571428571;;0.1571428571;0.1571428571;-1;0.1571428571;-1;-1;0.1571428571;0.1571428571;0.1571428571;0.1571428571;0.1571428571;0.1571428571;0.1571428571;0.1571428571;0.1571428571;0.1571428571;-1;0.1571428571;0.1571428571;48.16186;11.58641;1517999234.68694;5
0.1142857143;0.1142857143;0.1142857143;0.1142857143;-1;0.1142857143;0.1142857143;0.1142857143;-1;0.1142857143;0.1142857143;0.1142857143;0.1142857143;0.1142857143;0.1142857143;;0.1142857143;0.1142857143;-1;0.1142857143;-1;-1;0.1142857143;0.1142857143;0.1142857143;0.1142857143;0.1142857143;0.1142857143;0.1142857143;0.1142857143;0.1142857143;0.1142857143;-1;0.1142857143;0.1142857143;48.16186;11.58641;1517999235.68313;5
