UID1;UID2;UID3;UID4;UID5;UID6;UID7;UID8;UID9;UID10;UID11;UID12;UID13;UID14;UID15;UID16;UID17;UID18;UID19;UID20;UID21;UID22;UID23;UID24;UID25;UID26;UID27;UID28;UID29;UID30;UID31;UID32;UID33;UID34;UID35;Latitude;Longitude;Timestamp;Clusterid
0.1714285714;0.1714285714;0.1714285714;0.1714285714;-1;0.1714285714;-1;0.1714285714;0.1714285714;0.1714285714;0.1714285714;0.1714285714;0.1714285714;0.1714285714;0.1714285714;-1;0.1714285714;0.1714285714;-1;0.1714285714;-1;0.1714285714;0.1714285714;0.1714285714;0.1714285714;0.1714285714;-1;0.1714285714;0.1714285714;0.1714285714;0.1714285714;0.1714285714;0.1714285714;-1;0.1714285714;48.16181;11.58638;1517912587.59467;3
0.0428571429;0.0428571429;0.0428571429;0.0428571429;-1;0.0428571429;-1;0.0428571429;0.0428571429;0.0428571429;0.0428571429;0.0428571429;0.0428571429;0.0428571429;0.0428571429;-1;0.0428571429;0.0428571429;-1;0.0428571429;-1;0.0428571429;0.0428571429;0.0428571429;0.0428571429;0.0428571429;-1;0.0428571429;0.0428571429;0.0428571429;0.0428571429;0.0428571429;0.0428571429;-1;0.0428571429;48.16181;11.58638;1517912588.59508;0
0.0428571429;0.0428571429;0.0428571429;0.0428571429;-1;0.0428571429;-1;0.0428571429;0.0428571429;0.0428571429;0.0428571429;0.0428571429;0.0428571429;0.0428571429;0.0428571429;-1;0.0428571429;0.0428571429;-1;0.0428571429;-1;0.0428571429;0.0428571429;0.0428571429;0.0428571429;0.0428571429;-1;0.0428571429;0.0428571429;0.0428571429;0.0428571429;0.0428571429;0.0428571429;-1;0.0428571429;48.16181;11.58638;1517912589.59481;0
0.0428571429;0.0428571429;0.0428571429;0.0428571429;-1;0.0428571429;-1;0.0428571429;0.0428571429;0.0428571429;0.0428571429;0.0428571429;0.0428571429;0.0428571429;0.0428571429;-1;0.0428571429;0.0428571429;-1;0.0428571429;-1;0.0428571429;0.0428571429;0.0428571429;0.0428571429;0.0428571429;-1;0.0428571429;0.0428571429;0.0428571429;0.0428571429;0.0428571429;0.0428571429;-1;0.0428571429;48.16181;11.58638;1517912590.59503;0
0.0857142857;0.0857142857;0.0857142857;0.0857142857;-1;0.0857142857;-1;0.0857142857;0.0857142857;0.0857142857;0.0857142857;0.0857142857;0.0857142857;0.0857142857;0.0857142857;-1;0.0857142857;0.0857142857;-1;0.0857142857;-1;0.0857142857;0.0857142857;0.0857142857;0.0857142857;0.0857142857;-1;0.0857142857;0.0857142857;0.0857142857;0.0857142857;0.0857142857;0.0857142857;-1;0.0857142857;48.16181;11.58638;1517912591.59484;0
0.1285714286;0.1285714286;0.1285714286;0.1285714286;-1;0.1285714286;-1;0.1285714286;0.1285714286;0.1285714286;0.1285714286;0.1285714286;0.1285714286;0.1285714286;0.1285714286;-1;0.1285714286;0.1285714286;-1;0.1285714286;-1;0.1285714286;0.1285714286;0.1285714286;0.1285714286;0.1285714286;-1;0.1285714286;0.1285714286;0.1285714286;0.1285714286;0.1285714286;0.1285714286;-1;0.1285714286;48.16181;11.58638;1517912592.59444;4
0.1285714286;0.1285714286;0.1285714286;0.1285714286;-1;0.1285714286;-1;0.1285714286;0.1285714286;0.1285714286;0.1285714286;0.1285714286;0.1285714286;0.1285714286;0.1285714286;-1;0.1285714286;0.1285714286;-1;0.1285714286;-1;0.1285714286;0.1285714286;0.1285714286;0.1285714286;0.1285714286;-1;0.1285714286;0.1285714286;0.1285714286;0.1285714286;0.1285714286;0.1285714286;-1;0.1285714286;48.16187;11.5864;1517912593.59479;4
0.1285714286;0.1285714286;0.1285714286;0.1285714286;-1;0.1285714286;-1;0.1285714286;0.1285714286;0.1285714286;0.1285714286;0.1285714286;0.1285714286;0.1285714286;0.1285714286;-1;0.1285714286;0.1285714286;-1;0.1285714286;-1;0.1285714286;0.1285714286;0.1285714286;0.1285714286;0.1285714286;-1;0.1285714286;0.1285714286;0.1285714286;0.1285714286;0.1285714286;0.1285714286;-1;0.1285714286;48.16187;11.5864;1517912594.59484;4
0.0857142857;0.0857142857;0.0857142857;0.0857142857;-1;0.0857142857;-1;0.0857142857;0.0857142857;0.0857142857;0.0857142857;0.0857142857;0.0857142857;0.0857142857;0.0857142857;-1;0.0857142857;0.0857142857;-1;0.0857142857;-1;0.0857142857;0.0857142857;0.0857142857;0.0857142857;0.0857142857;-1;0.0857142857;0.0857142857;0.0857142857;0.0857142857;0.0857142857;0.0857142857;-1;0.0857142857;48.16187;11.5864;1517912595.59502;0
0.1285714286;0.1285714286;0.1285714286;0.1285714286;-1;0.1285714286;-1;0.1285714286;0.1285714286;0.1285714286;0.1285714286;0.1285714286;0.1285714286;0.1285714286;0.1285714286;-1;0.1285714286;0.1285714286;-1;0.1285714286;-1;0.1285714286;0.1285714286;0.1285714286;0.1285714286;0.1285714286;-1;0.1285714286;0.1285714286;0.1285714286;0.1285714286;0.1285714286;0.1285714286;-1;0.1285714286;48.16189;11.5864;1517912596.5945;4
0.1;0.1;0.1;0.1;-1;0.1;-1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;-1;0.1;0.1;-1;0.1;-1;0.1;0.1;0.1;0.1;0.1;-1;0.1;0.1;0.1;0.1;0.1;0.1;-1;0.1;48.16189;11.5864;1517912597.5946;4
0.1;0.1;0.1;0.1;-1;0.1;-1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;-1;0.1;0.1;-1;0.1;-1;0.1;0.1;0.1;0.1;0.1;-1;0.1;0.1;0.1;0.1;0.1;0.1;-1;0.1;48.16189;11.5864;1517912598.59478;4
0.1;0.1;0.1;0.1;-1;0.1;-1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;-1;0.1;0.1;-1;0.1;-1;0.1;0.1;0.1;0.1;0.1;-1;0.1;0.1;0.1;0.1;0.1;0.1;-1;0.1;48.16189;11.5864;1517912599.59498;4
0.1;0.1;0.1;0.1;-1;0.1;-1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;-1;0.1;0.1;-1;0.1;-1;0.1;0.1;0.1;0.1;0.1;-1;0.1;0.1;0.1;0.1;0.1;0.1;-1;0.1;48.16189;11.5864;1517912600.59481;4
0.2428571429;0.2428571429;0.2428571429;0.2428571429;-1;0.2428571429;-1;0.2428571429;0.2428571429;0.2428571429;0.2428571429;0.2428571429;0.2428571429;0.2428571429;0.2428571429;-1;0.2428571429;0.2428571429;-1;0.2428571429;-1;0.2428571429;0.2428571429;0.2428571429;0.2428571429;0.2428571429;-1;0.2428571429;0.2428571429;0.2428571429;0.2428571429;0.2428571429;0.2428571429;-1;0.2428571429;48.16191;11.58641;1517912601.5951;2
0.1142857143;0.1142857143;0.1142857143;0.1142857143;-1;0.1142857143;-1;0.1142857143;0.1142857143;0.1142857143;0.1142857143;0.1142857143;0.1142857143;0.1142857143;0.1142857143;-1;0.1142857143;0.1142857143;-1;0.1142857143;-1;0.1142857143;0.1142857143;0.1142857143;0.1142857143;0.1142857143;-1;0.1142857143;0.1142857143;0.1142857143;0.1142857143;0.1142857143;0.1142857143;-1;0.1142857143;48.16191;11.58641;1517912602.59462;4
0.1;0.1;0.1;0.1;-1;0.1;-1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;-1;0.1;0.1;-1;0.1;-1;0.1;0.1;0.1;0.1;0.1;-1;0.1;0.1;0.1;0.1;0.1;0.1;-1;0.1;48.16191;11.58641;1517912603.5949;4
0.1;0.1;0.1;0.1;-1;0.1;-1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;-1;0.1;0.1;-1;0.1;-1;0.1;0.1;0.1;0.1;0.1;-1;0.1;0.1;0.1;0.1;0.1;0.1;-1;0.1;48.16194;11.58641;1517912604.59499;4
0.2571428571;0.2571428571;0.2571428571;0.2571428571;-1;0.2571428571;-1;0.2571428571;0.2571428571;0.2571428571;0.2571428571;0.2571428571;0.2571428571;0.2571428571;0.2571428571;-1;0.2571428571;0.2571428571;-1;0.2571428571;-1;0.2571428571;0.2571428571;0.2571428571;0.2571428571;0.2571428571;-1;0.2571428571;0.2571428571;0.2571428571;0.2571428571;0.2571428571;0.2571428571;-1;0.2571428571;48.16194;11.58641;1517912605.59631;2
