UID1;UID2;UID3;UID4;UID5;UID6;UID7;UID8;UID9;UID10;UID11;UID12;UID13;UID14;UID15;UID16;UID17;UID18;UID19;UID20;UID21;UID22;UID23;UID24;UID25;UID26;UID27;UID28;UID29;UID30;UID31;UID32;UID33;UID34;UID35;Latitude;Longitude;Timestamp;Clusterid
-1;0.0571428571;0.0571428571;0.0571428571;-1;0.0571428571;0.0571428571;-1;-1;-1;0.0571428571;0.0571428571;0.0571428571;0.0571428571;0.0571428571;-1;0.0571428571;0.0571428571;0.0571428571;0.0571428571;0.0571428571;0.0571428571;0.0571428571;-1;0.0571428571;-1;-1;-1;0.0571428571;-1;-1;-1;-1;0.0571428571;0.0571428571;48.26253;11.66877;1519206216.80144;0
-1;0.1428571429;0.1428571429;0.1428571429;-1;0.1428571429;0.1428571429;-1;-1;-1;0.1428571429;0.1428571429;0.1428571429;0.1428571429;0.1428571429;-1;0.1428571429;0.1428571429;0.1428571429;0.1428571429;0.1428571429;0.1428571429;0.1428571429;-1;0.1428571429;-1;-1;-1;0.1428571429;-1;-1;-1;-1;0.1428571429;0.1428571429;48.26253;11.66877;1519206217.80199;1
-1;0.1285714286;0.1285714286;0.1285714286;-1;0.1285714286;0.1285714286;-1;-1;-1;0.1285714286;0.1285714286;0.1285714286;0.1285714286;0.1285714286;-1;0.1285714286;0.1285714286;0.1285714286;0.1285714286;0.1285714286;0.1285714286;0.1285714286;-1;0.1285714286;-1;-1;-1;0.1285714286;-1;-1;-1;-1;0.1285714286;0.1285714286;48.26253;11.66877;1519206218.80184;1
-1;0.1285714286;0.1285714286;0.1285714286;-1;0.1285714286;0.1285714286;-1;-1;-1;0.1285714286;0.1285714286;0.1285714286;0.1285714286;0.1285714286;-1;0.1285714286;0.1285714286;0.1285714286;0.1285714286;0.1285714286;0.1285714286;0.1285714286;-1;0.1285714286;-1;-1;-1;0.1285714286;-1;-1;-1;-1;0.1285714286;0.1285714286;48.26253;11.66877;1519206219.80198;1
-1;0.1142857143;0.1142857143;0.1142857143;-1;0.1142857143;0.1142857143;-1;-1;-1;0.1142857143;0.1142857143;0.1142857143;0.1142857143;0.1142857143;-1;0.1142857143;0.1142857143;0.1142857143;0.1142857143;0.1142857143;0.1142857143;0.1142857143;-1;0.1142857143;-1;-1;-1;0.1142857143;-1;-1;-1;-1;0.1142857143;0.1142857143;48.26253;11.66877;1519206220.80193;1
-1;0.1142857143;0.1142857143;0.1142857143;-1;0.1142857143;0.1142857143;-1;-1;-1;0.1142857143;0.1142857143;0.1142857143;0.1142857143;0.1142857143;-1;0.1142857143;0.1142857143;0.1142857143;0.1142857143;0.1142857143;0.1142857143;0.1142857143;-1;0.1142857143;-1;-1;-1;0.1142857143;-1;-1;-1;-1;0.1142857143;0.1142857143;48.26253;11.66877;1519206221.80195;1
-1;0.1142857143;0.1142857143;0.1142857143;-1;0.1142857143;0.1142857143;-1;-1;-1;0.1142857143;0.1142857143;0.1142857143;0.1142857143;0.1142857143;-1;0.1142857143;0.1142857143;0.1142857143;0.1142857143;0.1142857143;0.1142857143;0.1142857143;-1;0.1142857143;-1;-1;-1;0.1142857143;-1;-1;-1;-1;0.1142857143;0.1142857143;48.26253;11.66877;1519206222.8018;1
-1;0.1571428571;0.1571428571;0.1571428571;-1;0.1571428571;0.1571428571;-1;-1;-1;0.1571428571;0.1571428571;0.1571428571;0.1571428571;0.1571428571;-1;0.1571428571;0.1571428571;0.1571428571;0.1571428571;0.1571428571;0.1571428571;0.1571428571;-1;0.1571428571;-1;-1;-1;0.1571428571;-1;-1;-1;-1;0.1571428571;0.1571428571;48.26253;11.66877;1519206223.80197;1
-1;0.0571428571;0.0571428571;0.0571428571;-1;0.0571428571;0.0571428571;-1;-1;-1;0.0571428571;0.0571428571;0.0571428571;0.0571428571;0.0571428571;-1;0.0571428571;0.0571428571;0.0571428571;0.0571428571;0.0571428571;0.0571428571;0.0571428571;-1;0.0571428571;-1;-1;-1;0.0571428571;-1;-1;-1;-1;0.0571428571;0.0571428571;48.16181;11.58636;1519206224.80182;0
-1;0.0857142857;0.0857142857;0.0857142857;-1;0.0857142857;0.0857142857;-1;-1;-1;0.0857142857;0.0857142857;0.0857142857;0.0857142857;0.0857142857;-1;0.0857142857;0.0857142857;0.0857142857;0.0857142857;0.0857142857;0.0857142857;0.0857142857;-1;0.0857142857;-1;-1;-1;0.0857142857;-1;-1;-1;-1;0.0857142857;0.0857142857;48.16182;11.58636;1519206225.80197;0
-1;0.0571428571;0.0571428571;0.0571428571;-1;0.0571428571;0.0571428571;-1;-1;-1;0.0571428571;0.0571428571;0.0571428571;0.0571428571;0.0571428571;-1;0.0571428571;0.0571428571;0.0571428571;0.0571428571;0.0571428571;0.0571428571;0.0571428571;-1;0.0571428571;-1;-1;-1;0.0571428571;-1;-1;-1;-1;0.0571428571;0.0571428571;48.16182;11.58636;1519206226.80179;0
-1;0.1;0.1;0.1;-1;0.1;0.1;-1;-1;-1;0.1;0.1;0.1;0.1;0.1;-1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;-1;0.1;-1;-1;-1;0.1;-1;-1;-1;-1;0.1;0.1;48.16183;11.58637;1519206227.80204;0
-1;0.1;0.1;0.1;-1;0.1;0.1;-1;-1;-1;0.1;0.1;0.1;0.1;0.1;-1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;-1;0.1;-1;-1;-1;0.1;-1;-1;-1;-1;0.1;0.1;48.16183;11.58637;1519206228.80202;0
-1;0.0857142857;0.0857142857;0.0857142857;-1;0.0857142857;0.0857142857;-1;-1;-1;0.0857142857;0.0857142857;0.0857142857;0.0857142857;0.0857142857;-1;0.0857142857;0.0857142857;0.0857142857;0.0857142857;0.0857142857;0.0857142857;0.0857142857;-1;0.0857142857;-1;-1;-1;0.0857142857;-1;-1;-1;-1;0.0857142857;0.0857142857;48.16183;11.58637;1519206229.802;0
-1;0.1;0.1;0.1;-1;0.1;0.1;-1;-1;-1;0.1;0.1;0.1;0.1;0.1;-1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;-1;0.1;-1;-1;-1;0.1;-1;-1;-1;-1;0.1;0.1;48.16183;11.58637;1519206230.80196;0
-1;0.0857142857;0.0857142857;0.0857142857;-1;0.0857142857;0.0857142857;-1;-1;-1;0.0857142857;0.0857142857;0.0857142857;0.0857142857;0.0857142857;-1;0.0857142857;0.0857142857;0.0857142857;0.0857142857;0.0857142857;0.0857142857;0.0857142857;-1;0.0857142857;-1;-1;-1;0.0857142857;-1;-1;-1;-1;0.0857142857;0.0857142857;48.16183;11.58637;1519206231.80137;0
-1;0.3;0.3;0.3;-1;0.3;0.3;-1;-1;-1;0.3;0.3;0.3;0.3;0.3;-1;0.3;0.3;0.3;0.3;0.3;0.3;0.3;-1;0.3;-1;-1;-1;0.3;-1;-1;-1;-1;0.3;0.3;48.16183;11.58637;1519206232.80389;2
-1;0.3142857143;0.3142857143;0.3142857143;-1;0.3142857143;0.3142857143;-1;-1;-1;0.3142857143;0.3142857143;0.3142857143;0.3142857143;0.3142857143;-1;0.3142857143;0.3142857143;0.3142857143;0.3142857143;0.3142857143;0.3142857143;0.3142857143;-1;0.3142857143;-1;-1;-1;0.3142857143;-1;-1;-1;-1;0.3142857143;0.3142857143;48.16183;11.58637;1519206233.80197;2
-1;0.0857142857;0.0857142857;0.0857142857;-1;0.0857142857;0.0857142857;-1;-1;-1;0.0857142857;0.0857142857;0.0857142857;0.0857142857;0.0857142857;-1;0.0857142857;0.0857142857;0.0857142857;0.0857142857;0.0857142857;0.0857142857;0.0857142857;-1;0.0857142857;-1;-1;-1;0.0857142857;-1;-1;-1;-1;0.0857142857;0.0857142857;48.16183;11.58637;1519206234.80197;0
-1;0.0857142857;0.0857142857;0.0857142857;-1;0.0857142857;0.0857142857;-1;-1;-1;0.0857142857;0.0857142857;0.0857142857;0.0857142857;0.0857142857;-1;0.0857142857;0.0857142857;0.0857142857;0.0857142857;0.0857142857;0.0857142857;0.0857142857;-1;0.0857142857;-1;-1;-1;0.0857142857;-1;-1;-1;-1;0.0857142857;0.0857142857;48.16183;11.58637;1519206235.802;0
-1;0.1428571429;0.1428571429;0.1428571429;-1;0.1428571429;0.1428571429;-1;-1;-1;0.1428571429;0.1428571429;0.1428571429;0.1428571429;0.1428571429;-1;0.1428571429;0.1428571429;0.1428571429;0.1428571429;0.1428571429;0.1428571429;0.1428571429;-1;0.1428571429;-1;-1;-1;0.1428571429;-1;-1;-1;-1;0.1428571429;0.1428571429;48.16183;11.58637;1519206236.80141;1
-1;0.1428571429;0.1428571429;0.1428571429;-1;0.1428571429;0.1428571429;-1;-1;-1;0.1428571429;0.1428571429;0.1428571429;0.1428571429;0.1428571429;-1;0.1428571429;0.1428571429;0.1428571429;0.1428571429;0.1428571429;0.1428571429;0.1428571429;-1;0.1428571429;-1;-1;-1;0.1428571429;-1;-1;-1;-1;0.1428571429;0.1428571429;48.16183;11.58637;1519206237.80198;1
-1;0.0571428571;0.0571428571;0.0571428571;-1;0.0571428571;0.0571428571;-1;-1;-1;0.0571428571;0.0571428571;0.0571428571;0.0571428571;0.0571428571;-1;0.0571428571;0.0571428571;0.0571428571;0.0571428571;0.0571428571;0.0571428571;0.0571428571;-1;0.0571428571;-1;-1;-1;0.0571428571;-1;-1;-1;-1;0.0571428571;0.0571428571;48.16183;11.58637;1519206238.80198;0
-1;0.0428571429;0.0428571429;0.0428571429;-1;0.0428571429;0.0428571429;-1;-1;-1;0.0428571429;0.0428571429;0.0428571429;0.0428571429;0.0428571429;-1;0.0428571429;0.0428571429;0.0428571429;0.0428571429;0.0428571429;0.0428571429;0.0428571429;-1;0.0428571429;-1;-1;-1;0.0428571429;-1;-1;-1;-1;0.0428571429;0.0428571429;48.16183;11.58637;1519206239.80192;0
-1;0.0428571429;0.0428571429;0.0428571429;-1;0.0428571429;0.0428571429;-1;-1;-1;0.0428571429;0.0428571429;0.0428571429;0.0428571429;0.0428571429;-1;0.0428571429;0.0428571429;0.0428571429;0.0428571429;0.0428571429;0.0428571429;0.0428571429;-1;0.0428571429;-1;-1;-1;0.0428571429;-1;-1;-1;-1;0.0428571429;0.0428571429;48.16187;11.58642;1519206240.80209;0
-1;0.0428571429;0.0428571429;0.0428571429;-1;0.0428571429;0.0428571429;-1;-1;-1;0.0428571429;0.0428571429;0.0428571429;0.0428571429;0.0428571429;-1;0.0428571429;0.0428571429;0.0428571429;0.0428571429;0.0428571429;0.0428571429;0.0428571429;-1;0.0428571429;-1;-1;-1;0.0428571429;-1;-1;-1;-1;0.0428571429;0.0428571429;48.16187;11.58642;1519206241.80143;0
-1;0.0428571429;0.0428571429;0.0428571429;-1;0.0428571429;0.0428571429;-1;-1;-1;0.0428571429;0.0428571429;0.0428571429;0.0428571429;0.0428571429;-1;0.0428571429;0.0428571429;0.0428571429;0.0428571429;0.0428571429;0.0428571429;0.0428571429;-1;0.0428571429;-1;-1;-1;0.0428571429;-1;-1;-1;-1;0.0428571429;0.0428571429;48.16187;11.58642;1519206242.80197;0
-1;0.0571428571;0.0571428571;0.0571428571;-1;0.0571428571;0.0571428571;-1;-1;-1;0.0571428571;0.0571428571;0.0571428571;0.0571428571;0.0571428571;-1;0.0571428571;0.0571428571;0.0571428571;0.0571428571;0.0571428571;0.0571428571;0.0571428571;-1;0.0571428571;-1;-1;-1;0.0571428571;-1;-1;-1;-1;0.0571428571;0.0571428571;48.16187;11.58642;1519206243.80202;0
-1;0.0571428571;0.0571428571;0.0571428571;-1;0.0571428571;0.0571428571;-1;-1;-1;0.0571428571;0.0571428571;0.0571428571;0.0571428571;0.0571428571;-1;0.0571428571;0.0571428571;0.0571428571;0.0571428571;0.0571428571;0.0571428571;0.0571428571;-1;0.0571428571;-1;-1;-1;0.0571428571;-1;-1;-1;-1;0.0571428571;0.0571428571;48.16187;11.58642;1519206244.802;0
