UID1;UID2;UID3;UID4;UID5;UID6;UID7;UID8;UID9;UID10;UID11;UID12;UID13;UID14;UID15;UID16;UID17;UID18;UID19;UID20;UID21;UID22;UID23;UID24;UID25;UID26;UID27;UID28;UID29;UID30;UID31;UID32;UID33;UID34;UID35;Latitude;Longitude;Timestamp;Clusterid
-1;0.1;0.1;0.1;0.1;0.1;0.1;-1;-1;0.1;0.1;0.1;0.1;0.1;0.1;-1;-1;0.1;-1;0.1;-1;0.1;0.1;-1;0.1;0.1;-1;-1;0.1;-1;-1;-1;-1;0.1;0.1;48.16181;11.58637;1519206445.17091;0
-1;0.1142857143;0.1142857143;0.1142857143;0.1142857143;0.1142857143;0.1142857143;-1;-1;0.1142857143;0.1142857143;0.1142857143;0.1142857143;0.1142857143;0.1142857143;-1;-1;0.1142857143;-1;0.1142857143;-1;0.1142857143;0.1142857143;-1;0.1142857143;0.1142857143;-1;-1;0.1142857143;-1;-1;-1;-1;0.1142857143;0.1142857143;48.16182;11.58637;1519206446.17139;0
-1;0.1714285714;0.1714285714;0.1714285714;0.1714285714;0.1714285714;0.1714285714;-1;-1;0.1714285714;0.1714285714;0.1714285714;0.1714285714;0.1714285714;0.1714285714;-1;-1;0.1714285714;-1;0.1714285714;-1;0.1714285714;0.1714285714;-1;0.1714285714;0.1714285714;-1;-1;0.1714285714;-1;-1;-1;-1;0.1714285714;0.1714285714;48.16182;11.58637;1519206447.17129;1
-1;0.1;0.1;0.1;0.1;0.1;0.1;-1;-1;0.1;0.1;0.1;0.1;0.1;0.1;-1;-1;0.1;-1;0.1;-1;0.1;0.1;-1;0.1;0.1;-1;-1;0.1;-1;-1;-1;-1;0.1;0.1;48.16182;11.58637;1519206448.17127;0
-1;0.1;0.1;0.1;0.1;0.1;0.1;-1;-1;0.1;0.1;0.1;0.1;0.1;0.1;-1;-1;0.1;-1;0.1;-1;0.1;0.1;-1;0.1;0.1;-1;-1;0.1;-1;-1;-1;-1;0.1;0.1;48.16182;11.58637;1519206449.17131;0
-1;0.0714285714;0.0714285714;0.0714285714;0.0714285714;0.0714285714;0.0714285714;-1;-1;0.0714285714;0.0714285714;0.0714285714;0.0714285714;0.0714285714;0.0714285714;-1;-1;0.0714285714;-1;0.0714285714;-1;0.0714285714;0.0714285714;-1;0.0714285714;0.0714285714;-1;-1;0.0714285714;-1;-1;-1;-1;0.0714285714;0.0714285714;48.16182;11.58637;1519206450.17076;0
-1;0.0714285714;0.0714285714;0.0714285714;0.0714285714;0.0714285714;0.0714285714;-1;-1;0.0714285714;0.0714285714;0.0714285714;0.0714285714;0.0714285714;0.0714285714;-1;-1;0.0714285714;-1;0.0714285714;-1;0.0714285714;0.0714285714;-1;0.0714285714;0.0714285714;-1;-1;0.0714285714;-1;-1;-1;-1;0.0714285714;0.0714285714;48.16182;11.58637;1519206451.17138;0
-1;0.0714285714;0.0714285714;0.0714285714;0.0714285714;0.0714285714;0.0714285714;-1;-1;0.0714285714;0.0714285714;0.0714285714;0.0714285714;0.0714285714;0.0714285714;-1;-1;0.0714285714;-1;0.0714285714;-1;0.0714285714;0.0714285714;-1;0.0714285714;0.0714285714;-1;-1;0.0714285714;-1;-1;-1;-1;0.0714285714;0.0714285714;48.16182;11.58637;1519206452.17099;0
-1;0.1428571429;0.1428571429;0.1428571429;0.1428571429;0.1428571429;0.1428571429;-1;-1;0.1428571429;0.1428571429;0.1428571429;0.1428571429;0.1428571429;0.1428571429;-1;-1;0.1428571429;-1;0.1428571429;-1;0.1428571429;0.1428571429;-1;0.1428571429;0.1428571429;-1;-1;0.1428571429;-1;-1;-1;-1;0.1428571429;0.1428571429;48.16182;11.58637;1519206453.17148;1
-1;0.0857142857;0.0857142857;0.0857142857;0.0857142857;0.0857142857;0.0857142857;-1;-1;0.0857142857;0.0857142857;0.0857142857;0.0857142857;0.0857142857;0.0857142857;-1;-1;0.0857142857;-1;0.0857142857;-1;0.0857142857;0.0857142857;-1;0.0857142857;0.0857142857;-1;-1;0.0857142857;-1;-1;-1;-1;0.0857142857;0.0857142857;48.16182;11.58637;1519206454.17138;0
-1;0.0571428571;0.0571428571;0.0571428571;0.0571428571;0.0571428571;0.0571428571;-1;-1;0.0571428571;0.0571428571;0.0571428571;0.0571428571;0.0571428571;0.0571428571;-1;-1;0.0571428571;-1;0.0571428571;-1;0.0571428571;0.0571428571;-1;0.0571428571;0.0571428571;-1;-1;0.0571428571;-1;-1;-1;-1;0.0571428571;0.0571428571;48.16182;11.58637;1519206455.17131;0
-1;0.0571428571;0.0571428571;0.0571428571;0.0571428571;0.0571428571;0.0571428571;-1;-1;0.0571428571;0.0571428571;0.0571428571;0.0571428571;0.0571428571;0.0571428571;-1;-1;0.0571428571;-1;0.0571428571;-1;0.0571428571;0.0571428571;-1;0.0571428571;0.0571428571;-1;-1;0.0571428571;-1;-1;-1;-1;0.0571428571;0.0571428571;48.16182;11.58637;1519206456.17133;0
-1;0.1142857143;0.1142857143;0.1142857143;0.1142857143;0.1142857143;0.1142857143;-1;-1;0.1142857143;0.1142857143;0.1142857143;0.1142857143;0.1142857143;0.1142857143;-1;-1;0.1142857143;-1;0.1142857143;-1;0.1142857143;0.1142857143;-1;0.1142857143;0.1142857143;-1;-1;0.1142857143;-1;-1;-1;-1;0.1142857143;0.1142857143;48.16182;11.58637;1519206457.17132;0
-1;0.1142857143;0.1142857143;0.1142857143;0.1142857143;0.1142857143;0.1142857143;-1;-1;0.1142857143;0.1142857143;0.1142857143;0.1142857143;0.1142857143;0.1142857143;-1;-1;0.1142857143;-1;0.1142857143;-1;0.1142857143;0.1142857143;-1;0.1142857143;0.1142857143;-1;-1;0.1142857143;-1;-1;-1;-1;0.1142857143;0.1142857143;48.16182;11.58637;1519206458.17131;0
-1;0.1142857143;0.1142857143;0.1142857143;0.1142857143;0.1142857143;0.1142857143;-1;-1;0.1142857143;0.1142857143;0.1142857143;0.1142857143;0.1142857143;0.1142857143;-1;-1;0.1142857143;-1;0.1142857143;-1;0.1142857143;0.1142857143;-1;0.1142857143;0.1142857143;-1;-1;0.1142857143;-1;-1;-1;-1;0.1142857143;0.1142857143;48.16182;11.58637;1519206459.17113;0
