WAP1;WAP2;WAP3;WAP4;WAP5;WAP6;WAP7;WAP8;WAP9;WAP10;WAP11;WAP12;WAP13;WAP14;WAP15;WAP16;WAP17;WAP18;WAP19;WAP20;WAP21;WAP22;WAP23;WAP24;WAP25;WAP26;WAP27;WAP28;WAP29;WAP30;WAP31;WAP32;WAP33;WAP34;WAP35;WAP36;WAP37;Latitude;Longitude;Timestamp;Clusterid
0;0.15;0;0;0;0;0;0;0;-1;0.1166666667;0;0;0;0;-1;0;0;0;0;0;0;0;-1;0;-1;0;0;0;0;0;0.1;0;0;0;0.1833333333;0;48.16181;11.58638;1517999237951;1
0;0;0;0;0;0;0;0.1666666667;0;-1;0.1166666667;0;0;0;0;-1;0;0;0;0;0;0;0;-1;0;-1;0;0;0;0;0;0;0;0;0;0;0;48.16181;11.58638;1517999238482;5
0;0;0.15;0;0;0;0;0.1166666667;0;-1;0.1666666667;0;0;0;0;-1;0;0;0;0;0;0;0;-1;0;-1;0;0;0;0;0;0.2166666667;0;0;0;0;0;48.16182;11.58638;1517999239202;12
0;0;0;0;0;0;0;0.15;0;-1;0;0;0;0;0;-1;0;0;0;0.1166666667;0;0;0;-1;0;-1;0;0;0;0;0;0.1333333333;0;0;0;0;0;48.16182;11.58639;1517999239728;5
0.1666666667;0;0;0;0;0;0;0.15;0;-1;0;0;0;0;0;-1;0;0;0;0;0;0;0;-1;0;-1;0;0;0;0;0;0.1666666667;0;0;0;0;0;48.16183;11.58639;1517999240228;5
0;0;0.1333333333;0;0;0;0;0.1666666667;0;-1;0;0;0;0;0;-1;0;0;0;0;0;0;0;-1;0;-1;0;0;0;0.1666666667;0;0.1833333333;0;0;0;0;0;48.16183;11.58639;1517999241006;12
0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;-1;0;0;0;0;0;0;0;-1;0;-1;0;0;0;0.1166666667;0;0;0;0;0;0;0;48.16184;11.5864;1517999241474;1
0.15;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;-1;0;0;0;0;0;0;0;-1;0;-1;0;0;0;0.1666666667;0;0;0;0;0;0;0;48.16184;11.5864;1517999242249;1
0;0;0;0;0;0;0;0.2;0;-1;0;0;0;0;0;-1;0;0;0;0;0;0;0;-1;0;-1;0;0;0;0.2333333333;0;0.15;0;0;0;0;0;48.16185;11.5864;1517999242929;12
0;0;0;0;0;0;0.1;0;0;-1;0;0;0;0;0;-1;0;0;0;0;0;0;0;-1;0;-1;0;0;0;0.1833333333;0;0.2;0;0;0;0;0;48.16185;11.5864;1517999243514;13
0.1666666667;0;0;0;0;0;0;0.2166666667;0;-1;0;0;0;0;0;-1;0;0;0;0;0;0;0;-1;0;-1;0;0;0;0;0;0;0;0;0;0;0;48.16186;11.5864;1517999244240;5
0;0;0;0;0;0;0.1333333333;0;0;-1;0;0;0;0;0;-1;0;0;0;0;0;0;0;-1;0;-1;0;0;0;0;0;0.1166666667;0;0;0;0;0;48.16186;11.5864;1517999244755;13
0;0;0.1;0;0;0;0;0.1333333333;0;-1;0;0;0;0;0;-1;0;0;0;0;0;0;0;-1;0;-1;0;0;0;0.1333333333;0;0.2666666667;0;0;0;0;0;48.16187;11.5864;1517999245386;12
