WAP1;WAP2;WAP3;WAP4;WAP5;WAP6;WAP7;WAP8;WAP9;WAP10;WAP11;WAP12;WAP13;WAP14;WAP15;WAP16;WAP17;WAP18;WAP19;WAP20;WAP21;WAP22;WAP23;WAP24;WAP25;WAP26;WAP27;WAP28;WAP29;WAP30;WAP31;WAP32;WAP33;WAP34;WAP35;WAP36;WAP37;Latitude;Longitude;Timestamp;Clusterid
0;0.1166666667;0;0;0;0;0.1;0.15;-1;-1;0.1;0;0;0;0;-1;0;0;-1;0.1833333333;0;0;0;-1;0;-1;0;-1;0;0;0.1166666667;0.15;0.1166666667;0;0;-1;0;48.16181;11.58639;1519829763595;13
0;0;0;0;0;0;0;0.1333333333;-1;-1;0;0;0;0;0;-1;0;0;-1;0;0;0;0;-1;0;-1;0;-1;0;0;0;0;0.1333333333;0;0;-1;0;48.16183;11.58639;1519829764268;1
0;0;0;0;0;0;0.1;0;-1;-1;0;0;0;0;0;-1;0;0;-1;0;0;0;0;-1;0;-1;0;-1;0;0;0.15;0.2833333333;0.1666666667;0;0;-1;0;48.16184;11.58639;1519829764913;6
0;0;0;0;0;0;0;0;-1;-1;0;0;0;0;0;-1;0;0;-1;0;0;0;0;-1;0;-1;0;-1;0;0;0.1;0.3666666667;0.1;0;0;-1;0;48.16184;11.5864;1519829765518;6
0;0;0;0;0;0;0.1166666667;0;-1;-1;0;0;0;0;0;-1;0;0;-1;0;0;0;0;-1;0;-1;0;-1;0;0;0;0.35;0;0;0;-1;0;48.16185;11.5864;1519829766085;6
0;0;0;0;0;0;0.1166666667;0;-1;-1;0;0;0;0;0;-1;0;0;-1;0;0;0;0;-1;0;-1;0;-1;0;0;0.1;0.4;0;0;0;-1;0;48.16186;11.5864;1519829766664;6
0;0;0.1;0;0;0;0;0;-1;-1;0;0;0;0;0;-1;0;0;-1;0;0;0;0;-1;0;-1;0;-1;0;0;0.2333333333;0.3166666667;0;0;0;-1;0;48.16186;11.5864;1519829767244;6
0;0;0;0;0;0;0;0;-1;-1;0;0;0;0;0;-1;0;0;-1;0;0;0;0;-1;0;-1;0;-1;0;0;0.1833333333;0;0;0;0;-1;0;48.16186;11.5864;1519829767807;16
0;0;0;0;0;0;0.1833333333;0;-1;-1;0;0;0;0;0;-1;0;0;-1;0;0;0;0.1666666667;-1;0;-1;0;-1;0;0;0;0;0;0;0;-1;0;48.16188;11.58641;1519829769544;10
0;0;0;0;0;0;0.1666666667;0;-1;-1;0;0;0;0;0;-1;0;0;-1;0;0;0;0;-1;0;-1;0;-1;0;0;0.1;0.1166666667;0;0;0;-1;0;48.16189;11.58641;1519829770122;16
0;0;0;0;0;0;0;0;-1;-1;0;0;0;0;0;-1;0;0;-1;0;0;0;0;-1;0;-1;0;-1;0;0;0.2166666667;0;0;0;0;-1;0;48.16189;11.58641;1519829770707;16
0;0;0;0;0;0;0.1;0;-1;-1;0;0;0;0;0;-1;0;0;-1;0;0;0;0.1;-1;0;-1;0;-1;0;0;0.2;0;0;0;0;-1;0;48.1619;11.58642;1519829771875;16
0;0;0;0;0;0;0;0;-1;-1;0;0;0;0;0;-1;0;0;-1;0;0;0;0.2;-1;0;-1;0;-1;0;0;0;0;0;0;0;-1;0;48.16191;11.58642;1519829772448;10
0;0;0;0;0;0;0;0;-1;-1;0;0;0;0;0;-1;0;0;-1;0;0;0;0.1333333333;-1;0;-1;0;-1;0;0;0;0;0;0;0;-1;0;48.16191;11.58642;1519829773044;10
0;0;0;0;0;0;0;0;-1;-1;0;0;0;0;0;-1;0;0;-1;0;0;0;0.2666666667;-1;0;-1;0;-1;0;0;0;0;0;0;0;-1;0;48.16192;11.58642;1519829773622;10
0;0;0;0;0;0;0;0;-1;-1;0;0;0;0;0;-1;0;0;-1;0;0;0.1833333333;0.2166666667;-1;0;-1;0;-1;0;0;0;0;0;0;0;-1;0;48.16192;11.58642;1519829774245;14
0;0;0;0;0;0;0;0;-1;-1;0;0;0;0;0;-1;0;0;-1;0;0;0;0.2166666667;-1;0;-1;0;-1;0;0;0;0;0;0;0;-1;0;48.16193;11.58643;1519829774831;10
0;0;0;0;0;0;0;0;-1;-1;0;0;0;0;0;-1;0;0;-1;0;0;0.1666666667;0.2333333333;-1;0;-1;0;-1;0;0;0;0;0;0;0;-1;0;48.16194;11.58643;1519829775933;14
0;0;0;0;0;0;0;0;-1;-1;0;0;0;0;0;-1;0;0;-1;0;0;0.25;0.2;-1;0;-1;0;-1;0;0;0;0;0;0;0;-1;0;48.16194;11.58643;1519829776539;14
0;0;0;0;0;0;0;0;-1;-1;0;0;0;0;0;-1;0;0;-1;0;0;0.2666666667;0.2666666667;-1;0;-1;0;-1;0;0;0;0;0;0;0;-1;0;48.16195;11.58643;1519829777081;14
0;0;0;0;0;0;0;0;-1;-1;0;0;0;0.1166666667;0;-1;0;0;-1;0;0;0.35;0.2166666667;-1;0;-1;0;-1;0;0;0;0;0;0;0;-1;0;48.16196;11.58644;1519829777693;14
0;0;0;0;0;0;0;0;-1;-1;0;0;0;0.1833333333;0;-1;0;0;-1;0;0;0.25;0.15;-1;0;-1;0;-1;0;0;0;0;0;0;0;-1;0;48.16197;11.58644;1519829778839;3
