WAP1;WAP2;WAP3;WAP4;WAP5;WAP6;WAP7;WAP8;WAP9;WAP10;WAP11;WAP12;WAP13;WAP14;WAP15;WAP16;WAP17;WAP18;WAP19;WAP20;WAP21;WAP22;WAP23;WAP24;WAP25;WAP26;WAP27;WAP28;WAP29;WAP30;WAP31;WAP32;WAP33;WAP34;WAP35;WAP36;WAP37;Latitude;Longitude;Timestamp;Clusterid
0.15;-1;0;0;0;0;0.1166666667;0.15;0.1166666667;-1;-1;0;-1;0;0;-1;0;0;-1;0.2166666667;0;0;0;-1;0;-1;0;-1;0;0.1;0;0.2166666667;-1;0.1333333333;0;-1;0;48.16181;11.58639;1520273103159;19
0;-1;0.1666666667;0;0;0;0;0;0;-1;-1;0;-1;0;0;-1;0;0;-1;0;0;0;0;-1;0;-1;0;-1;0;0;0;0;-1;0;0;-1;0;48.16182;11.58639;1520273103897;8
0;-1;0.15;0;0;0;0;0;0;-1;-1;0;-1;0;0;-1;0;0;-1;0;0;0;0;-1;0;-1;0;-1;0;0;0;0.2;-1;0;0;-1;0;48.16182;11.58639;1520273104506;4
0;-1;0;0;0;0;0;0;0;-1;-1;0;-1;0;0;-1;0;0;-1;0;0;0;0;-1;0;-1;0;-1;0;0;0;0.3333333333;-1;0;0;-1;0;48.16183;11.58639;1520273105482;0
0;-1;0;0;0;0;0;0;0;-1;-1;0;-1;0;0;-1;0;0;-1;0;0;0;0;-1;0;-1;0;-1;0;0;0.1833333333;0.3;-1;0;0;-1;0;48.16184;11.5864;1520273106240;12
0;-1;0;0;0;0;0.1;0;0;-1;-1;0;-1;0;0;-1;0;0;-1;0;0;0;0;-1;0;-1;0;-1;0;0;0;0.3166666667;-1;0;0;-1;0;48.16184;11.5864;1520273106860;0
0;-1;0;0;0;0;0.2;0;0;-1;-1;0;-1;0;0;-1;0;0;-1;0;0;0;0;-1;0;-1;0;-1;0;0;0.1166666667;0.3;-1;0;0;-1;0;48.16185;11.5864;1520273107553;0
0;-1;0;0;0;0;0;0;0;-1;-1;0;-1;0;0;-1;0;0;-1;0;0;0;0;-1;0;-1;0;-1;0;0;0.15;0.3;-1;0;0;-1;0;48.16186;11.5864;1520273107923;12
0;-1;0;0;0;0;0;0;0;-1;-1;0;-1;0;0;-1;0;0;-1;0;0;0;0;-1;0;-1;0;-1;0;0;0;0.1833333333;-1;0;0;-1;0;48.16186;11.5864;1520273108562;4
0;-1;0;0;0;0;0.1166666667;0;0;-1;-1;0;-1;0;0;-1;0;0;-1;0;0;0;0;-1;0;-1;0;-1;0;0;0;0.1333333333;-1;0;0;-1;0;48.16187;11.5864;1520273109192;4
0;-1;0;0;0;0;0;0;0;-1;-1;0;-1;0;0;-1;0;0;-1;0;0;0;0;-1;0;-1;0;-1;0;0;0.1833333333;0.1333333333;-1;0;0;-1;0;48.16187;11.58641;1520273109985;12
0;-1;0;0;0;0;0;0;0;-1;-1;0;-1;0;0;-1;0;0;-1;0;0;0;0.1;-1;0;-1;0;-1;0;0;0.25;0.1166666667;-1;0;0;-1;0;48.16188;11.58641;1520273111233;12
0;-1;0;0;0;0;0.1333333333;0;0;-1;-1;0;-1;0;0;-1;0;0;-1;0;0;0.1333333333;0.2;-1;0;-1;0;-1;0;0;0.1833333333;0;-1;0;0;-1;0;48.16189;11.58641;1520273112388;7
0;-1;0;0;0;0;0;0;0;-1;-1;0;-1;0;0;-1;0;0;-1;0;0;0;0;-1;0;-1;0;-1;0;0;0.1333333333;0;-1;0;0;-1;0;48.1619;11.58642;1520273112912;8
0;-1;0;0;0;0;0;0;0;-1;-1;0;-1;0;0;-1;0;0;-1;0;0;0.1333333333;0;-1;0;-1;0;-1;0;0;0;0;-1;0;0;-1;0;48.16191;11.58642;1520273113640;8
0;-1;0;0;0;0;0;0;0;-1;-1;0;-1;0;0;-1;0;0;-1;0;0;0.1166666667;0.25;-1;0;-1;0;-1;0;0;0;0;-1;0;0;-1;0;48.16192;11.58642;1520273114850;7
0;-1;0;0;0;0;0;0;0;-1;-1;0;-1;0;0;-1;0;0;-1;0;0;0;0.2666666667;-1;0;-1;0;-1;0;0;0;0;-1;0;0;-1;0;48.16193;11.58643;1520273116578;7
0;-1;0;0;0;0;0;0;0;-1;-1;0;-1;0;0;-1;0;0;-1;0;0;0;0.3166666667;-1;0;-1;0;-1;0;0;0;0;-1;0;0;-1;0;48.16194;11.58643;1520273117335;7
