WAP1;WAP2;WAP3;WAP4;WAP5;WAP6;WAP7;WAP8;WAP9;WAP10;WAP11;WAP12;WAP13;WAP14;WAP15;WAP16;WAP17;WAP18;WAP19;WAP20;WAP21;WAP22;WAP23;WAP24;WAP25;WAP26;WAP27;WAP28;WAP29;WAP30;WAP31;WAP32;WAP33;WAP34;WAP35;WAP36;WAP37;Latitude;Longitude;Timestamp;Clusterid
0;-1;0;0;0;0;0.1;0.1666666667;0;-1;0.1;0;0;0;0;-1;0;0;0;0.1333333333;0;0;0;-1;0;-1;0;-1;0;0.15;0;0.1666666667;0.1166666667;0.1;0;-1;0.1333333333;48.16181;11.58639;1517999415323;0
0;-1;0;0;0;0;0;0;0;-1;0;0;0;0;0;-1;0;0;0;0;0;0;0;-1;0;-1;0;-1;0;0;0;0;0;0;0;-1;0;48.16182;11.58639;1517999416078;7
0;-1;0.1666666667;0;0;0;0;0;0;-1;0;0;0;0;0;-1;0;0;0;0;0;0;0;-1;0;-1;0;-1;0;0;0;0;0;0;0;-1;0;48.16183;11.58639;1517999416550;7
0;-1;0.1;0;0;0;0;0.1;0;-1;0;0;0;0;0;-1;0;0;0;0;0;0;0;-1;0;-1;0;-1;0;0.1;0;0;0;0;0;-1;0;48.16183;11.58639;1517999417201;7
0;-1;0.1333333333;0;0;0;0;0;0;-1;0;0;0;0;0;-1;0;0;0;0;0;0;0;-1;0;-1;0;-1;0;0;0;0.1833333333;0;0;0;-1;0;48.16184;11.58639;1517999417605;12
0;-1;0.1;0;0;0;0;0;0;-1;0;0;0;0;0;-1;0;0;0;0;0;0;0;-1;0;-1;0;-1;0;0;0;0.15;0;0;0;-1;0;48.16185;11.5864;1517999418249;12
0;-1;0;0;0;0;0.1333333333;0;0;-1;0;0;0;0;0;-1;0;0;0;0;0;0;0;-1;0;-1;0;-1;0;0;0.1;0.1;0.1333333333;0;0;-1;0;48.16185;11.5864;1517999419069;7
0;-1;0;0;0;0;0;0;0;-1;0;0;0;0;0;-1;0;0;0;0;0;0;0;-1;0;-1;0;-1;0;0;0;0.2666666667;0;0;0;-1;0;48.16186;11.5864;1517999419673;12
0;-1;0;0;0;0;0;0;0;-1;0;0;0;0;0;-1;0;0;0;0;0;0;0;-1;0;-1;0;-1;0;0;0;0;0;0;0;-1;0;48.16186;11.5864;1517999420328;7
0;-1;0.1666666667;0;0;0;0;0;0;-1;0;0;0;0;0;-1;0;0;0;0;0;0;0;-1;0;-1;0;-1;0;0;0;0.3833333333;0;0;0;-1;0;48.16187;11.5864;1517999420961;12
0;-1;0.15;0;0;0;0;0;0;-1;0;0;0;0;0;-1;0;0;0;0;0;0;0.1;-1;0;-1;0;-1;0;0;0;0.3166666667;0;0;0;-1;0;48.16187;11.58641;1517999421544;12
0;-1;0;0;0;0;0.1333333333;0;0;-1;0;0;0;0;0;-1;0;0;0.1;0;0;0;0.15;-1;0;-1;0;-1;0;0.1;0.1666666667;0.2666666667;0;0;0;-1;0;48.16188;11.58641;1517999422181;12
0;-1;0.1166666667;0;0;0;0;0;0;-1;0;0;0;0;0;-1;0;0;0;0;0;0;0;-1;0;-1;0;-1;0;0;0.15;0;0;0;0;-1;0;48.16188;11.58641;1517999422792;7
0;-1;0;0;0;0;0;0;0;-1;0;0;0;0;0;-1;0;0;0;0;0;0;0.1833333333;-1;0;-1;0;-1;0;0;0.2833333333;0;0;0;0;-1;0;48.16189;11.58641;1517999423398;6
0;-1;0;0;0;0;0.1333333333;0;0;-1;0;0;0;0;0;-1;0;0;0;0;0;0.1333333333;0.2166666667;-1;0;-1;0;-1;0;0;0.2166666667;0.1166666667;0;0;0;-1;0;48.16189;11.58641;1517999424011;6
0;-1;0;0;0;0;0;0;0;-1;0;0;0;0;0;-1;0;0;0;0;0;0.15;0.2166666667;-1;0;-1;0;-1;0;0;0.2666666667;0;0;0;0;-1;0;48.1619;11.58642;1517999424638;6
0;-1;0;0;0;0;0;0;0;-1;0;0;0;0;0;-1;0;0;0;0;0;0;0;-1;0;-1;0;-1;0;0;0.2166666667;0;0;0;0;-1;0;48.1619;11.58642;1517999425241;7
0;-1;0;0;0;0;0;0;0;-1;0;0;0;0;0;-1;0;0;0;0;0;0;0.3333333333;-1;0;-1;0;-1;0;0;0.1166666667;0;0;0;0;-1;0;48.16191;11.58642;1517999425861;16
0;-1;0;0;0;0;0.1333333333;0;0;-1;0;0;0;0;0;-1;0;0;0;0;0;0.15;0.2333333333;-1;0;-1;0;-1;0;0;0;0;0;0;0;-1;0;48.16192;11.58642;1517999426494;16
